transaction_id,card_id,timestamp,merchant_segment,channel,country,amount,fraud_pattern,is_fraud,rule_velocity,rule_high_amount,any_rule_hit
T0017347,C001137,2026-01-10 00:00:01,fuel,card_not_present,IN,43.83,,False,False,False,False
T0016427,C002083,2026-01-10 00:00:01,marketplace,card_not_present,GB,42.83,,False,False,False,False
T0020830,C000775,2026-01-10 00:00:02,gaming,card_present,CA,15.48,,False,False,False,False
T0003486,C000068,2026-01-10 00:00:04,digital_content,card_present,BR,28.46,,False,False,False,False
T0031385,C001704,2026-01-10 00:00:10,travel,card_not_present,FR,868.78,,False,False,False,False
T0009179,C000461,2026-01-10 00:00:11,grocery,card_present,CA,39.37,,False,False,False,False
T0006714,C001402,2026-01-10 00:00:11,fuel,card_present,US,19.56,,False,False,False,False
T0000990,C001969,2026-01-10 00:00:11,electronics,card_not_present,FR,102.33,,False,False,False,False
T0017274,C000651,2026-01-10 00:00:12,grocery,card_not_present,BR,22.93,,False,False,False,False
T0015958,C002258,2026-01-10 00:00:13,fashion,card_not_present,IN,55.26,,False,False,False,False
T0004141,C001816,2026-01-10 00:00:14,digital_content,card_present,US,19.59,,False,False,False,False
T0047544,C000464,2026-01-10 00:00:15,gaming,card_present,GB,44.69,,False,False,False,False
T0045506,C000815,2026-01-10 00:00:19,electronics,card_present,DE,187.56,,False,False,False,False
T0013162,C002052,2026-01-10 00:00:22,digital_content,card_not_present,DE,19.84,,False,False,False,False
T0003938,C001182,2026-01-10 00:00:24,gaming,card_not_present,IN,16.83,,False,False,False,False
T0024463,C001752,2026-01-10 00:00:27,grocery,card_present,CA,37.51,,False,False,False,False
T0042091,C000642,2026-01-10 00:00:29,electronics,card_present,CA,411.8,,False,False,False,False
T0034681,C000881,2026-01-10 00:00:31,gaming,card_present,IN,52.9,,False,False,False,False
T0044856,C002214,2026-01-10 00:00:32,fashion,card_present,FR,97.93,,False,False,False,False
T0045756,C000397,2026-01-10 00:00:33,digital_content,card_present,DE,12.09,,False,False,False,False
T0049928,C001274,2026-01-10 00:00:34,marketplace,card_not_present,BR,82.03,,False,False,False,False
T0000930,C001446,2026-01-10 00:00:37,marketplace,card_not_present,GB,89.23,,False,False,False,False
T0001061,C001927,2026-01-10 00:00:41,marketplace,card_present,BR,45.96,,False,False,False,False
T0050470,C002463,2026-01-10 00:00:41,electronics,card_not_present,CA,10347.21,high_amount,True,False,True,True
T0044969,C001706,2026-01-10 00:00:41,fuel,card_present,IN,38.0,,False,False,False,False
T0014261,C002438,2026-01-10 00:00:42,grocery,card_present,CA,31.8,,False,False,False,False
T0040850,C002032,2026-01-10 00:00:42,travel,card_not_present,FR,97.7,,False,False,False,False
T0000469,C000454,2026-01-10 00:00:43,gaming,card_present,GB,20.65,,False,False,False,False
T0048707,C001988,2026-01-10 00:00:44,electronics,card_present,GB,159.45,,False,False,False,False
T0017576,C001649,2026-01-10 00:00:47,gaming,card_not_present,US,13.49,,False,False,False,False
T0008218,C002289,2026-01-10 00:00:48,digital_content,card_not_present,FR,81.01,,False,False,False,False
T0031126,C001531,2026-01-10 00:00:49,fuel,card_present,DE,16.23,,False,False,False,False
T0028880,C001770,2026-01-10 00:00:50,electronics,card_present,FR,264.86,,False,False,False,False
T0009216,C000545,2026-01-10 00:00:51,travel,card_present,FR,187.41,,False,False,False,False
T0046965,C001190,2026-01-10 00:00:53,travel,card_not_present,CA,62.08,,False,False,False,False
T0038713,C000869,2026-01-10 00:00:54,marketplace,card_not_present,GB,26.05,,False,False,False,False
T0030892,C000861,2026-01-10 00:00:58,fashion,card_present,FR,117.82,,False,False,False,False
T0047804,C000495,2026-01-10 00:01:01,electronics,card_present,GB,180.29,,False,False,False,False
T0017511,C002197,2026-01-10 00:01:08,electronics,card_not_present,DE,217.48,,False,False,False,False
T0025389,C001732,2026-01-10 00:01:10,fuel,card_present,IN,28.51,,False,False,False,False
T0038556,C001014,2026-01-10 00:01:10,electronics,card_present,CA,416.28,,False,False,False,False
T0021945,C001935,2026-01-10 00:01:17,digital_content,card_not_present,GB,62.78,,False,False,False,False
T0015178,C001545,2026-01-10 00:01:17,digital_content,card_not_present,US,28.86,,False,False,False,False
T0010163,C001036,2026-01-10 00:01:19,digital_content,card_present,FR,26.71,,False,False,False,False
T0010721,C001039,2026-01-10 00:01:22,marketplace,card_present,BR,139.37,,False,False,False,False
T0043597,C000405,2026-01-10 00:01:23,gaming,card_present,BR,33.85,,False,False,False,False
T0033033,C001340,2026-01-10 00:01:23,marketplace,card_not_present,CA,29.35,,False,False,False,False
T0029781,C002368,2026-01-10 00:01:23,gaming,card_not_present,IN,12.86,,False,False,False,False
T0000965,C002373,2026-01-10 00:01:24,digital_content,card_present,US,15.53,,False,False,False,False
T0037959,C000369,2026-01-10 00:01:24,electronics,card_present,US,279.86,,False,False,False,False
T0022673,C000297,2026-01-10 00:01:27,grocery,card_not_present,FR,21.9,,False,False,False,False
T0047582,C002041,2026-01-10 00:01:27,electronics,card_present,BR,98.93,,False,False,False,False
T0013432,C002098,2026-01-10 00:01:28,fashion,card_present,IN,37.64,,False,False,False,False
