transaction_id,card_id,timestamp,merchant_segment,channel,country,amount,fraud_pattern,is_fraud,rule_velocity,rule_high_amount,any_rule_hit,card_tx_count,card_total_amount,card_avg_amount,fraud_risk_score
T0017347,C001137,2026-01-10 00:00:01,fuel,card_not_present,IN,43.83,,False,False,False,False,32,2837.57,88.6740625,0.057233206837989686
T0016427,C002083,2026-01-10 00:00:01,marketplace,card_not_present,GB,42.83,,False,False,False,False,12,1028.05,85.67083333333333,1.8424313298962753e-05
T0020830,C000775,2026-01-10 00:00:02,gaming,card_present,CA,15.48,,False,False,False,False,17,1729.78,101.75176470588235,7.798446758363111e-09
T0003486,C000068,2026-01-10 00:00:04,digital_content,card_present,BR,28.46,,False,False,False,False,41,3124.17,76.19926829268293,0.0009457244746842849
T0031385,C001704,2026-01-10 00:00:10,travel,card_not_present,FR,868.78,,False,False,False,False,21,3006.24,143.1542857142857,0.0092536014367966
T0009179,C000461,2026-01-10 00:00:11,grocery,card_present,CA,39.37,,False,False,False,False,24,2435.4,101.47500000000001,5.695245216063649e-07
T0006714,C001402,2026-01-10 00:00:11,fuel,card_present,US,19.56,,False,False,False,False,20,2029.02,101.451,3.5673273690322305e-08
T0000990,C001969,2026-01-10 00:00:11,electronics,card_not_present,FR,102.33,,False,False,False,False,29,3571.9500000000003,123.17068965517242,0.02869126141100197
T0017274,C000651,2026-01-10 00:00:12,grocery,card_not_present,BR,22.93,,False,False,False,False,19,2038.85,107.3078947368421,0.000578516876225038
T0015958,C002258,2026-01-10 00:00:13,fashion,card_not_present,IN,55.26,,False,False,False,False,18,1170.9,65.05000000000001,2.9691557698303944e-05
T0004141,C001816,2026-01-10 00:00:14,digital_content,card_present,US,19.59,,False,False,False,False,18,1634.61,90.81166666666667,1.74967168071699e-08
T0047544,C000464,2026-01-10 00:00:15,gaming,card_present,GB,44.69,,False,False,False,False,24,11040.289999999999,460.0120833333333,2.711289394233635e-07
T0045506,C000815,2026-01-10 00:00:19,electronics,card_present,DE,187.56,,False,False,False,False,17,1174.03,69.06058823529412,1.6317024613723212e-08
T0013162,C002052,2026-01-10 00:00:22,digital_content,card_not_present,DE,19.84,,False,False,False,False,15,1109.33,73.95533333333333,9.787035588481615e-05
T0003938,C001182,2026-01-10 00:00:24,gaming,card_not_present,IN,16.83,,False,False,False,False,19,973.25,51.223684210526315,8.211682891595954e-05
