merchant_id,industry_segment,settlement_frequency,monthly_txn_count,average_ticket_size,monthly_transaction_volume,chargeback_rate,fraud_alert_rate,days_since_last_chargeback,concentration_ratio,reserve_coverage_ratio,prior_default_flag,gross_exposure,net_exposure,synthetic_pd_signal,risk_label
M00001,restaurants,daily,587,38.91,22840.3,0.00449,0.00397,5,0.1832,1.0439,0,2827.94,1974.17,0.1689,0
M00002,travel,twice_weekly,586,253.31,148441.03,0.01108,0.01392,45,0.2492,0.4277,0,20217.81,20629.87,0.9973,1
M00003,restaurants,weekly,3396,53.83,182813.25,0.00227,0.00165,113,0.16,0.6418,0,15139.04,15260.18,0.0602,0
M00004,marketplace,weekly,1653,87.02,143850.45,0.00933,0.00978,142,0.3277,0.9494,0,12524.03,10871.16,0.9508,1
M00005,grocery,daily,676,57.31,38744.46,0.00248,0.00249,92,0.2188,0.677,0,2998.42,2516.78,0.0797,0
M00006,electronics,daily,1186,382.81,454012.27,0.0211,0.02118,5,0.1402,0.7534,0,53826.4,43596.53,1.0,1
M00007,restaurants,weekly,272,51.85,14103.2,0.00237,0.00318,180,0.3091,0.8239,0,1337.78,1237.63,0.0918,0
M00008,restaurants,weekly,1171,29.1,34073.79,0.00578,0.01037,69,0.1404,0.974,0,2137.65,1831.59,0.7314,1
M00009,grocery,daily,5571,25.61,142685.84,0.00238,0.00242,18,0.1821,0.8101,0,24423.11,19247.89,0.0639,0
M00010,travel,twice_weekly,1035,382.45,395840.39,0.0184,0.02549,14,0.2067,0.7752,0,67294.22,58843.23,1.0,1
M00011,retail,daily,1679,101.59,170577.66,0.00257,0.00315,48,0.4428,0.7234,0,16763.75,13771.05,0.149,0
M00012,healthcare,daily,991,103.48,102551.4,0.00242,0.00299,9,0.1435,0.9843,0,6198.93,4469.75,0.0557,0
M00013,digital_services,daily,444,111.93,49699.09,0.00914,0.01637,60,0.113,0.4888,0,3722.36,3394.15,0.9953,1
M00014,restaurants,daily,609,44.97,27384.45,0.00584,0.00439,116,0.2631,0.8023,0,2907.94,2300.49,0.4033,1
M00015,travel,daily,610,384.14,234327.64,0.01009,0.00732,114,0.3201,0.6385,0,38814.64,33155.31,0.9612,0
M00016,fuel,weekly,1087,72.03,78301.16,0.00305,0.00396,8,0.2491,0.7192,1,13435.39,13069.38,0.3763,1
M00017,digital_services,daily,644,77.57,49954.25,0.00495,0.00871,16,0.3385,0.8364,0,3610.92,2809.26,0.7121,1
M00018,grocery,daily,622,31.22,19420.36,0.00345,0.00409,62,0.2309,0.763,0,2109.11,1700.45,0.1653,0
M00019,restaurants,daily,1350,53.95,72829.46,0.00696,0.00823,71,0.3524,0.8307,0,8821.6,6882.49,0.8144,1
M00020,digital_services,daily,4069,106.4,432926.04,0.02265,0.0174,20,0.2046,0.5549,0,36054.08,31956.57,1.0,1
M00021,restaurants,daily,866,50.27,43537.96,0.00367,0.00406,16,0.2476,1.0428,0,6923.74,4836.41,0.1389,0
M00022,retail,daily,1258,85.99,108176.45,0.00966,0.0144,39,0.0905,0.4824,0,7948.19,7266.8,0.9916,1
M00023,electronics,daily,679,214.59,145705.86,0.00195,0.00207,61,0.269,0.7002,0,13328.43,11068.21,0.075,0
M00024,healthcare,twice_weekly,3809,79.07,301185.72,0.0021,0.00225,39,0.0835,0.8443,0,30611.07,25877.83,0.0443,0
M00025,restaurants,weekly,611,46.2,28226.96,0.00492,0.00841,7,0.2071,0.6292,0,2189.47,2219.46,0.6742,1
M00026,fuel,daily,663,38.66,25633.08,0.00077,0.00119,74,0.0692,0.872,0,4089.28,3125.42,0.0149,0
