industry_segment,merchant_count,total_net_exposure,avg_predicted_pd,avg_chargeback_rate,severe_risk_merchants,high_or_severe_merchants,portfolio_exposure_share
travel,192,11209283.49,0.9550031250000001,0.01835895833333333,186,187,0.227589761959789
electronics,180,9480168.43,0.8772338888888889,0.013493666666666666,160,164,0.19248235431347865
retail,438,7000674.07,0.5796586757990868,0.006124543378995434,258,331,0.14213948166899
healthcare,172,4699900.77,0.17642616279069767,0.0028777906976744185,10,45,0.09542530514400692
digital_services,257,4353856.91,0.9302062256809338,0.014106381322957199,243,247,0.08839933958650219
gaming,155,3104505.13,0.9566632258064517,0.022372387096774193,150,151,0.06303289449053302
grocery,358,2519610.56,0.05758882681564246,0.0020760335195530726,0,5,0.05115737933591781
restaurants,323,2502927.57,0.2869204334365325,0.003998606811145511,69,135,0.05081865316075551
fuel,230,2218239.06,0.1724695652173913,0.0031153478260869567,21,49,0.045038427307658904
marketplace,195,2162976.96,0.8938323076923077,0.011307794871794874,177,185,0.04391640303236795
