feature,coefficient
num__chargeback_rate,4.039041548369317
num__fraud_alert_rate,3.566203940062973
num__monthly_transaction_volume,0.6852351671167578
cat__industry_segment_marketplace,0.6636573742596568
cat__industry_segment_travel,0.5854910104484369
cat__industry_segment_digital_services,0.35256404726283874
num__prior_default_flag,0.2829442542781074
num__net_exposure,0.24438771378889532
num__concentration_ratio,0.2058147281587253
cat__settlement_frequency_weekly,0.06581528079472815
cat__industry_segment_healthcare,0.058734599672789316
cat__settlement_frequency_twice_weekly,0.031448936220869105
cat__settlement_frequency_daily,0.019465953635062424
num__reserve_coverage_ratio,-0.11688215998465282
num__days_since_last_chargeback,-0.12486855075465807
cat__industry_segment_fuel,-0.16455294214658248
cat__industry_segment_retail,-0.1702558669590823
cat__industry_segment_gaming,-0.19372192231837698
num__monthly_txn_count,-0.2766696989219709
num__average_ticket_size,-0.29446622062084576
cat__industry_segment_electronics,-0.31517176339494624
cat__industry_segment_grocery,-0.3261802704143232
cat__industry_segment_restaurants,-0.37383409575974846
num__gross_exposure,-0.5331828066880138
