card_id,tx_count,total_amount,fraud_tx,velocity_hits,high_amount_hits,any_rule_hits,fraud_rate_card,rule_hit_rate,status
C000001,18,985.11,0,0,0,0,0.0,0.0,Low Risk
C000002,22,912.64,0,0,0,0,0.0,0.0,Low Risk
C000003,17,682.78,0,0,0,0,0.0,0.0,Low Risk
C000004,29,1620.39,0,0,0,0,0.0,0.0,Low Risk
C000005,13,1129.93,0,0,0,0,0.0,0.0,Low Risk
C000006,16,1437.85,0,0,0,0,0.0,0.0,Low Risk
C000007,18,2423.67,0,0,0,0,0.0,0.0,Low Risk
C000008,27,1821.79,0,0,0,0,0.0,0.0,Low Risk
C000009,16,1721.79,0,0,0,0,0.0,0.0,Low Risk
C000010,28,2055.17,0,0,0,0,0.0,0.0,Low Risk
C000011,26,2157.28,0,0,0,0,0.0,0.0,Low Risk
C000012,19,1498.15,0,0,0,0,0.0,0.0,Low Risk
C000013,23,1955.34,0,0,0,0,0.0,0.0,Low Risk
C000014,23,1989.77,0,0,0,0,0.0,0.0,Low Risk
C000015,29,1757.26,0,0,0,0,0.0,0.0,Low Risk
C000016,25,2251.7400000000002,0,0,0,0,0.0,0.0,Low Risk
C000017,21,2159.13,0,0,0,0,0.0,0.0,Low Risk
C000018,14,1002.0699999999999,0,0,0,0,0.0,0.0,Low Risk
C000019,20,2763.75,0,0,0,0,0.0,0.0,Low Risk
C000020,18,1665.74,0,0,0,0,0.0,0.0,Low Risk
C000021,15,1119.16,0,0,0,0,0.0,0.0,Low Risk
C000022,15,1310.97,0,0,0,0,0.0,0.0,Low Risk
C000023,25,1514.94,0,0,0,0,0.0,0.0,Low Risk
C000024,17,1870.35,0,0,0,0,0.0,0.0,Low Risk
C000025,21,1623.71,0,0,0,0,0.0,0.0,Low Risk
C000026,22,1951.12,0,0,0,0,0.0,0.0,Low Risk
C000027,21,2626.01,0,0,0,0,0.0,0.0,Low Risk
C000028,28,2425.18,0,0,0,0,0.0,0.0,Low Risk
C000029,18,1321.1599999999999,0,0,0,0,0.0,0.0,Low Risk
C000030,16,1705.5,0,0,0,0,0.0,0.0,Low Risk
C000031,22,1839.53,0,0,0,0,0.0,0.0,Low Risk
C000032,18,1608.16,0,0,0,0,0.0,0.0,Low Risk
C000033,15,1255.5,0,0,0,0,0.0,0.0,Low Risk
C000034,17,5460.3099999999995,1,0,0,0,0.058823529411764705,0.0,Low Risk
C000035,21,1595.38,0,0,0,0,0.0,0.0,Low Risk
C000036,23,1981.17,0,0,0,0,0.0,0.0,Low Risk
C000037,27,2463.71,0,0,0,0,0.0,0.0,Low Risk
C000038,25,1735.09,0,0,0,0,0.0,0.0,Low Risk
C000039,23,1459.34,0,0,0,0,0.0,0.0,Low Risk
C000040,18,1528.59,0,0,0,0,0.0,0.0,Low Risk
C000041,22,1867.3899999999999,0,0,0,0,0.0,0.0,Low Risk
C000042,21,934.24,0,0,0,0,0.0,0.0,Low Risk
C000043,17,1638.3799999999999,0,0,0,0,0.0,0.0,Low Risk
C000044,20,1361.19,0,0,0,0,0.0,0.0,Low Risk
C000045,20,1397.3899999999999,0,0,0,0,0.0,0.0,Low Risk
C000046,22,1941.25,0,0,0,0,0.0,0.0,Low Risk
C000047,13,1211.3,0,0,0,0,0.0,0.0,Low Risk
C000048,17,1206.45,0,0,0,0,0.0,0.0,Low Risk
C000049,17,2935.85,0,0,0,0,0.0,0.0,Low Risk
C000050,15,789.98,0,0,0,0,0.0,0.0,Low Risk
C000051,16,1098.01,0,0,0,0,0.0,0.0,Low Risk
C000052,23,2422.59,0,0,0,0,0.0,0.0,Low Risk
C000053,23,2015.07,0,0,0,0,0.0,0.0,Low Risk
C000054,18,1419.88,0,0,0,0,0.0,0.0,Low Risk
C000055,20,1236.5,0,0,0,0,0.0,0.0,Low Risk
C000056,21,2580.68,0,0,0,0,0.0,0.0,Low Risk
C000057,23,1814.17,0,0,0,0,0.0,0.0,Low Risk
C000058,20,2212.66,0,0,0,0,0.0,0.0,Low Risk
C000059,24,2927.94,0,0,0,0,0.0,0.0,Low Risk
C000060,29,3921.2,0,0,0,0,0.0,0.0,Low Risk
C000061,22,1217.28,0,0,0,0,0.0,0.0,Low Risk
C000062,20,8245.34,1,0,1,1,0.05,0.05,High Risk (Fraud & Rules)
C000063,15,905.55,0,0,0,0,0.0,0.0,Low Risk
C000064,22,1472.03,0,0,0,0,0.0,0.0,Low Risk
C000065,18,1752.27,0,0,0,0,0.0,0.0,Low Risk
C000066,21,2420.3,0,0,0,0,0.0,0.0,Low Risk
C000067,19,1562.41,0,0,0,0,0.0,0.0,Low Risk
C000068,41,3124.17,11,5,0,5,0.2682926829268293,0.12195121951219512,High Risk (Fraud & Rules)
C000069,12,934.5699999999999,0,0,0,0,0.0,0.0,Low Risk
C000070,19,1104.49,0,0,0,0,0.0,0.0,Low Risk
C000071,16,1006.27,0,0,0,0,0.0,0.0,Low Risk
C000072,14,1694.26,0,0,0,0,0.0,0.0,Low Risk
C000073,21,2176.91,0,0,0,0,0.0,0.0,Low Risk
C000074,16,882.22,0,0,0,0,0.0,0.0,Low Risk
C000075,26,2560.85,0,0,0,0,0.0,0.0,Low Risk
C000076,21,1771.26,0,0,0,0,0.0,0.0,Low Risk
C000077,14,805.55,0,0,0,0,0.0,0.0,Low Risk
C000078,27,1994.0,0,0,0,0,0.0,0.0,Low Risk
C000079,20,2741.78,0,0,0,0,0.0,0.0,Low Risk
C000080,23,1407.25,0,0,0,0,0.0,0.0,Low Risk
C000081,20,1959.79,0,0,0,0,0.0,0.0,Low Risk
C000082,9,574.32,0,0,0,0,0.0,0.0,Low Risk
C000083,18,1324.66,0,0,0,0,0.0,0.0,Low Risk
C000084,19,1533.43,0,0,0,0,0.0,0.0,Low Risk
C000085,17,779.86,0,0,0,0,0.0,0.0,Low Risk
C000086,25,2638.19,0,0,0,0,0.0,0.0,Low Risk
C000087,22,2764.61,0,0,0,0,0.0,0.0,Low Risk
C000088,28,3292.05,0,0,0,0,0.0,0.0,Low Risk
C000089,25,2710.82,0,0,0,0,0.0,0.0,Low Risk
C000090,24,1978.1,0,0,0,0,0.0,0.0,Low Risk
C000091,27,2129.83,0,0,0,0,0.0,0.0,Low Risk
C000092,23,2368.82,0,0,0,0,0.0,0.0,Low Risk
C000093,25,1437.99,0,0,0,0,0.0,0.0,Low Risk
C000094,23,2261.9,0,0,0,0,0.0,0.0,Low Risk
C000095,17,1128.74,0,0,0,0,0.0,0.0,Low Risk
C000096,19,1852.31,0,0,0,0,0.0,0.0,Low Risk
C000097,21,1868.88,0,0,0,0,0.0,0.0,Low Risk
C000098,29,13130.65,1,0,1,1,0.034482758620689655,0.034482758620689655,High Risk (Fraud & Rules)
C000099,17,1341.3799999999999,0,0,0,0,0.0,0.0,Low Risk
C000100,20,1914.32,0,0,0,0,0.0,0.0,Low Risk
C000101,21,1329.28,0,0,0,0,0.0,0.0,Low Risk
C000102,26,3123.73,0,0,0,0,0.0,0.0,Low Risk
C000103,21,1576.61,0,0,0,0,0.0,0.0,Low Risk
C000104,13,5390.18,1,0,0,0,0.07692307692307693,0.0,Low Risk
C000105,13,1094.48,0,0,0,0,0.0,0.0,Low Risk
C000106,22,1424.04,0,0,0,0,0.0,0.0,Low Risk
C000107,21,1181.08,0,0,0,0,0.0,0.0,Low Risk
C000108,22,2109.85,0,0,0,0,0.0,0.0,Low Risk
C000109,19,2588.11,0,0,0,0,0.0,0.0,Low Risk
C000110,25,11716.82,1,0,1,1,0.04,0.04,High Risk (Fraud & Rules)
C000111,23,1703.05,0,0,0,0,0.0,0.0,Low Risk
C000112,24,2670.95,0,0,0,0,0.0,0.0,Low Risk
C000113,22,1596.62,0,0,0,0,0.0,0.0,Low Risk
