card_id,tx_count,total_amount,fraud_tx,velocity_hits,high_amount_hits,any_rule_hits,fraud_rate_card,rule_hit_rate,status,avg_fraud_score,max_fraud_score,tx_count_score,fraud_tx_score,any_rule_hits_score,combined_status
C000001,18,985.11,0,0,0,0,0.0,0.0,Low Risk,8.3121411479966e-05,0.0002460850386749,18,0,0,Low Risk
C000002,22,912.64,0,0,0,0,0.0,0.0,Low Risk,0.0010307823163105757,0.0034237244793558,22,0,0,Low Risk
C000003,17,682.78,0,0,0,0,0.0,0.0,Low Risk,6.912179759410626e-05,0.0003481584106047,17,0,0,Low Risk
C000004,29,1620.39,0,0,0,0,0.0,0.0,Low Risk,0.026704244979259543,0.0934413679642511,29,0,0,Low Risk
C000005,13,1129.93,0,0,0,0,0.0,0.0,Low Risk,1.3485389196124551e-05,4.939663946971097e-05,13,0,0,Low Risk
C000006,16,1437.85,0,0,0,0,0.0,0.0,Low Risk,5.1879360759431e-05,0.0001756539744954,16,0,0,Low Risk
C000007,18,2423.67,0,0,0,0,0.0,0.0,Low Risk,0.00011534438547245559,0.0004549500775982,18,0,0,Low Risk
C000008,27,1821.79,0,0,0,0,0.0,0.0,Low Risk,0.00934059004730723,0.055181916947845,27,0,0,Low Risk
C000009,16,1721.79,0,0,0,0,0.0,0.0,Low Risk,3.542295262227551e-05,0.0001931463650573,16,0,0,Low Risk
C000010,28,2055.17,0,0,0,0,0.0,0.0,Low Risk,0.014710649113834993,0.0568936423583177,28,0,0,Low Risk
C000011,26,2157.28,0,0,0,0,0.0,0.0,Low Risk,0.00628678740736593,0.0248569464231056,26,0,0,Low Risk
C000012,19,1498.15,0,0,0,0,0.0,0.0,Low Risk,0.00021343677160765346,0.0005958822894653,19,0,0,Low Risk
C000013,23,1955.34,0,0,0,0,0.0,0.0,Low Risk,0.002401381524085394,0.0069034028655469,23,0,0,Low Risk
C000014,23,1989.77,0,0,0,0,0.0,0.0,Low Risk,0.0008216982011632627,0.0054476186430817,23,0,0,Low Risk
C000015,29,1757.26,0,0,0,0,0.0,0.0,Low Risk,0.021357005262221136,0.0781806371896481,29,0,0,Low Risk
C000016,25,2251.74,0,0,0,0,0.0,0.0,Low Risk,0.004564380063655571,0.0153170150362044,25,0,0,Low Risk
C000017,21,2159.13,0,0,0,0,0.0,0.0,Low Risk,0.0004371577815954757,0.0014878954661658,21,0,0,Low Risk
C000018,14,1002.07,0,0,0,0,0.0,0.0,Low Risk,3.5579711492868236e-05,8.642371627581288e-05,14,0,0,Low Risk
