feature,coefficient,abs_coefficient
channel_card_present,-6.5093892514980825,6.5093892514980825
channel_card_not_present,3.1218804679005094,3.1218804679005094
card_tx_count,2.470552841816229,2.470552841816229
amount,1.6611865364170562,1.6611865364170562
country_IN,-1.5416483676106008,1.5416483676106008
merchant_segment_fashion,-1.3192983823383793,1.3192983823383793
card_avg_amount,-1.1650189800153878,1.1650189800153878
card_total_amount,1.0569548841608518,1.0569548841608518
country_FR,-0.7459821712177465,0.7459821712177465
merchant_segment_gaming,-0.658107295050043,0.658107295050043
merchant_segment_electronics,-0.5553792814322509,0.5553792814322509
country_US,-0.5123878689213138,0.5123878689213138
merchant_segment_travel,-0.49172329540375387,0.49172329540375387
merchant_segment_marketplace,-0.4634220401334491,0.4634220401334491
country_BR,-0.35362110153817095,0.35362110153817095
merchant_segment_grocery,0.21869017414844624,0.21869017414844624
country_DE,-0.17482536407010282,0.17482536407010282
any_rule_hit,0.17424248688434585,0.17424248688434585
rule_velocity,0.1731016759754721,0.1731016759754721
merchant_segment_fuel,-0.1633077726403915,0.1633077726403915
country_CA,-0.09600882285702726,0.09600882285702726
rule_high_amount,0.06089748782235066,0.06089748782235066
merchant_segment_digital_content,0.0450391092522472,0.0450391092522472
country_GB,0.036964912617392064,0.036964912617392064
