merchant_id,industry_segment,settlement_frequency,monthly_txn_count,average_ticket_size,monthly_transaction_volume,chargeback_rate,fraud_alert_rate,days_since_last_chargeback,concentration_ratio,reserve_coverage_ratio,prior_default_flag,gross_exposure,net_exposure,synthetic_pd_signal,risk_label,predicted_pd,risk_tier
M01014,electronics,weekly,12661,383.86,4860014.06,0.0268,0.04244,35,0.2227,0.8778,0,826594.03,744421.11,1.0,1,1.0,Severe
M01145,travel,daily,9682,330.49,3199775.95,0.0099,0.0133,181,0.4584,0.5734,0,435633.86,383034.79,0.9989,1,0.9994,Severe
M01753,healthcare,daily,16505,175.92,2903602.32,0.00345,0.0053,87,0.1478,0.8395,0,485661.46,377251.25,0.5098,0,0.1619,Medium
M00487,travel,daily,14753,246.79,3640834.22,0.02744,0.0444,83,0.156,0.6939,0,443223.51,369146.52,1.0,1,1.0,Severe
M00944,travel,daily,8759,297.01,2601473.67,0.02093,0.03177,0,0.359,0.3865,0,325923.61,310020.82,1.0,1,1.0,Severe
M01459,electronics,daily,5655,406.82,2300540.09,0.01548,0.02091,132,0.254,0.7393,0,334920.89,273088.19,1.0,1,1.0,Severe
M00170,electronics,daily,9493,222.67,2113783.84,0.02175,0.0302,102,0.2809,1.0019,0,377233.62,269453.28,1.0,1,1.0,Severe
M01349,travel,daily,4821,405.17,1953304.13,0.02069,0.02473,0,0.3391,0.8501,0,302332.03,233613.41,1.0,1,1.0,Severe
M00100,electronics,weekly,5027,396.1,1991172.71,0.00328,0.00287,66,0.0842,0.7759,0,236250.37,223722.46,0.2209,0,0.1791,Medium
M00748,travel,twice_weekly,6744,237.78,1603612.49,0.01669,0.01188,68,0.1319,0.8669,0,260048.57,217378.31,0.9995,1,0.9997,Severe
M00248,travel,daily,3767,450.48,1696971.89,0.02374,0.02935,31,0.2808,0.952,0,290324.18,212943.78,1.0,1,1.0,Severe
M01458,travel,weekly,4977,316.75,1576486.17,0.01354,0.01736,96,0.5213,0.7792,0,216180.95,204390.55,0.9998,1,0.9999,Severe
M01678,travel,weekly,4396,283.13,1244640.42,0.01519,0.01195,83,0.1906,0.8586,0,221734.87,201629.88,0.9992,1,0.9994,Severe
M01969,travel,weekly,2948,484.33,1427810.22,0.02004,0.02808,51,0.2166,0.8766,0,217155.55,195688.16,1.0,1,1.0,Severe
M00613,electronics,twice_weekly,8626,236.27,2038096.71,0.0036,0.00525,26,0.3663,0.6971,0,215605.88,195602.03,0.5483,1,0.5252,Severe
M01705,travel,twice_weekly,7410,305.99,2267375.3,0.01436,0.02282,46,0.4308,1.0713,0,256409.0,192324.88,1.0,1,1.0,Severe
M01831,travel,daily,4295,324.83,1395141.09,0.00745,0.01118,309,0.3825,0.764,0,238358.95,192080.24,0.9782,1,0.9583,Severe
M00722,travel,twice_weekly,4418,385.08,1701281.65,0.01293,0.02261,19,0.1185,0.7453,1,204667.52,181538.17,1.0,1,1.0,Severe
M01268,electronics,daily,4162,295.38,1229358.18,0.01205,0.01287,32,0.1106,0.8232,0,218399.25,171021.65,0.9965,1,0.9934,Severe
M02263,travel,weekly,4178,319.17,1333509.1,0.01379,0.02299,29,0.1828,0.9338,1,186438.4,163153.03,1.0,1,1.0,Severe
M02047,travel,weekly,5155,321.33,1656476.35,0.01535,0.02179,137,0.159,0.6202,0,157350.82,160152.97,1.0,1,1.0,Severe
M00955,electronics,weekly,5358,370.78,1986664.59,0.01475,0.02481,6,0.113,0.6272,0,153633.54,155876.83,1.0,1,1.0,Severe
M02437,digital_services,daily,11470,105.9,1214650.88,0.0181,0.02904,81,0.2918,0.8548,0,202176.99,155862.19,1.0,1,1.0,Severe
M01943,travel,weekly,2276,505.29,1150038.49,0.02294,0.0207,23,0.3336,0.763,0,155301.01,147979.43,1.0,1,1.0,Severe
M00601,travel,weekly,3644,388.61,1416105.48,0.01209,0.01608,90,0.2753,0.675,0,144105.53,143077.74,0.9993,1,0.9998,Severe
